merchant_id,drawdown_amount,drawdown_date
134829201.00,6000,21-04-2023
134829201.00,6000,22-04-2023
134829201.00,6000,23-04-2023
134829201.00,5168,24-04-2023
134829201.00,6500,27-04-2023
134829201.00,914,28-04-2023
134829201.00,2500,29-04-2023
134829201.00,1523,30-04-2023
134829201.00,965,01-05-2023
134829201.00,2500,05-05-2023
134829201.00,5000,06-05-2023
134829201.00,5000,09-05-2023
134829201.00,1713,10-05-2023
134829201.00,5000,11-05-2023
134829201.00,9000,18-05-2023
134829201.00,1717,21-05-2023
134829201.00,1715,21-05-2023
134829201.00,530,22-05-2023
134829201.00,809,23-05-2023
134829201.00,4000,19-06-2023
134829201.00,513,21-06-2023
131927138.00,5000,24-04-2023
131927138.00,5000,26-04-2023
131927138.00,3178,07-05-2023
131927138.00,322,07-05-2023
131927138.00,1493,06-06-2023
131927138.00,5419,16-06-2023
131927138.00,12500,08-07-2023
126538773.00,35118,30-04-2023
126538773.00,37000,08-05-2023
126538773.00,15000,20-05-2023
126538773.00,8081,24-05-2023
126538773.00,9919,24-05-2023
126538773.00,6754,26-05-2023
126538773.00,29210,26-05-2023
126538773.00,17680,27-05-2023
126538773.00,19520,27-05-2023
126538773.00,26669,28-05-2023
126538773.00,12550,30-05-2023
126538773.00,16771,01-06-2023
126538773.00,10010,02-06-2023
126538773.00,1183,02-06-2023
126538773.00,3715,03-06-2023
126538773.00,1537,07-06-2023
126538773.00,4099,08-06-2023
126538773.00,6938,10-06-2023
126538773.00,8062,11-06-2023
126538773.00,6938,11-06-2023
126538773.00,15000,13-06-2023
126538773.00,15000,15-06-2023
126538773.00,6381,20-06-2023
126538773.00,25182,21-06-2023
126538773.00,10800,28-07-2023
126538773.00,10800,30-07-2023
126538773.00,7907,01-08-2023
126538773.00,10800,02-08-2023
126538773.00,10800,03-08-2023
126538773.00,3600,25-08-2023
126538773.00,1500,14-09-2023
126538773.00,1500,15-09-2023
126538773.00,3000,18-09-2023
126538773.00,2488,20-09-2023
126538773.00,3000,23-09-2023
126538773.00,3000,24-09-2023
126538773.00,3000,25-09-2023
126538773.00,3000,27-09-2023
126538773.00,3000,30-09-2023
126538773.00,3000,03-10-2023
126538773.00,969,06-10-2023
126538773.00,1624,09-10-2023
126538773.00,638,10-10-2023
126538773.00,1012,20-10-2023
126538773.00,1011,20-10-2023
126538773.00,977,20-10-2023
126538773.00,3000,22-11-2023
126538773.00,3000,23-11-2023
126538773.00,3000,27-11-2023
126538773.00,3000,30-11-2023
126538773.00,3000,02-12-2023
126538773.00,1504,03-12-2023
126538773.00,6600,05-12-2023
126538773.00,6600,07-12-2023
126538773.00,6600,19-12-2023
126538773.00,6600,20-12-2023
126538773.00,5051,22-12-2023
126538773.00,6600,24-12-2023
126538773.00,6600,25-12-2023
126538773.00,6600,29-12-2023
126538773.00,6600,30-12-2023
126538773.00,6600,01-01-2024
126538773.00,5574,04-01-2024
126538773.00,4547,13-01-2024
126538773.00,2053,13-01-2024
126538773.00,6600,15-01-2024
126538773.00,6600,17-01-2024
126538773.00,1011,18-01-2024
126538773.00,3058,21-01-2024
126538773.00,3054,21-01-2024
126538773.00,6600,22-01-2024
126538773.00,6600,24-01-2024
126538773.00,6600,26-01-2024
126538773.00,6600,29-01-2024
126538773.00,6600,30-01-2024
126538773.00,4008,31-01-2024
126538773.00,6600,01-02-2024
126538773.00,3770,02-02-2024
126538773.00,2830,02-02-2024
126538773.00,4388,03-02-2024
126538773.00,2212,03-02-2024
126538773.00,1676,07-02-2024
126538773.00,1738,09-02-2024
126538773.00,6600,12-02-2024
126538773.00,2500,13-03-2024
126538773.00,6809,16-03-2024
126538773.00,7800,18-03-2024
126538773.00,7800,20-03-2024
126538773.00,7200,24-03-2024
126538773.00,2887,25-03-2024
126538773.00,501,21-04-2024
126538773.00,4299,21-04-2024
126538773.00,601,30-04-2024
126538773.00,3600,01-05-2024
126538773.00,3600,09-05-2024
126538773.00,3600,10-05-2024
126538773.00,3600,12-05-2024
126538773.00,511,13-05-2024
126538773.00,3546,14-05-2024
126538773.00,701,15-05-2024
126538773.00,4200,17-05-2024
126538773.00,4200,18-05-2024
126538773.00,4200,19-05-2024
126538773.00,4200,23-05-2024
126538773.00,4200,24-05-2024
126538773.00,2400,31-05-2024
126538773.00,2400,01-06-2024
126538773.00,4000,11-06-2024
126538773.00,4000,12-06-2024
126538773.00,3099,17-06-2024
126538773.00,3500,18-06-2024
126538773.00,1215,20-06-2024
126538773.00,2285,20-06-2024
126538773.00,180,26-06-2024
126538773.00,3000,03-07-2024
126538773.00,3000,04-07-2024
126538773.00,72,04-07-2024
126538773.00,3000,05-07-2024
126538773.00,600,06-07-2024
126538773.00,115,07-07-2024
126538773.00,3600,08-07-2024
126538773.00,3600,11-07-2024
126538773.00,2021,12-07-2024
126538773.00,1579,12-07-2024
126538773.00,3600,13-07-2024
126538773.00,1010,17-07-2024
126538773.00,4320,18-07-2024
147248745.00,5000,24-04-2023
147248745.00,3500,27-05-2023
147248745.00,3500,29-05-2023
147248745.00,3500,02-06-2023
146983962.00,5000,05-05-2023
137805369.00,3000,10-05-2023
137805369.00,3000,11-05-2023
137805369.00,3000,12-05-2023
137805369.00,5000,21-05-2023
137805369.00,7800,25-05-2023
137805369.00,4200,28-05-2023
137805369.00,4200,29-05-2023
137805369.00,4200,30-05-2023
137805369.00,4200,31-05-2023
137805369.00,4200,02-06-2023
137805369.00,4200,03-06-2023
137805369.00,4200,04-06-2023
137805369.00,5400,05-06-2023
137805369.00,5400,06-06-2023
137805369.00,500,11-06-2023
137805369.00,2000,03-07-2023
137805369.00,2000,05-07-2023
137805369.00,3000,11-07-2023
137805369.00,6500,31-07-2023
137805369.00,6500,24-08-2023
137805369.00,6000,02-09-2023
137805369.00,6000,03-09-2023
