merchant_id,date,amount,type,type_order,signed_amount,outstanding_balance
100274288,2023-11-20,50000.0,drawdown,0,50000.0,50000.0
100274288,2023-11-21,5.34,repayment,1,-5.34,49994.66
100274288,2023-11-22,49000.0,drawdown,0,49000.0,98994.66
100274288,2023-11-24,101000.0,drawdown,0,101000.0,199994.66
100274288,2023-11-24,5.0,repayment,1,-5.0,199989.66
100274288,2023-12-24,1398.55,repayment,1,-1398.55,198591.11000000002
100274288,2023-12-25,50000.0,repayment,1,-50000.0,148591.11000000002
100274288,2023-12-26,14000.0,drawdown,0,14000.0,162591.11000000002
100274288,2023-12-26,20000.0,drawdown,0,20000.0,182591.11000000002
100274288,2023-12-26,50000.0,repayment,1,-50000.0,132591.11000000002
100274288,2023-12-26,5.0,repayment,1,-5.0,132586.11000000002
100274288,2023-12-27,33395.0,repayment,1,-33395.0,99191.11000000002
100274288,2023-12-28,600.0,repayment,1,-600.0,98591.11000000002
100274288,2024-01-06,20000.0,repayment,1,-20000.0,78591.11000000002
100274288,2024-01-20,1500.0,repayment,1,-1500.0,77091.11000000002
100274288,2024-02-13,6.0,repayment,1,-6.0,77085.11000000002
100274288,2024-03-13,6.0,repayment,1,-6.0,77079.11000000002
100274288,2024-03-30,1183.0,repayment,1,-1183.0,75896.11000000002
100274288,2024-05-30,12416.66,repayment,1,-12416.66,63479.45000000001
100274288,2024-06-01,20.51,repayment,1,-20.51,63458.94000000001
100274288,2024-06-04,2.75,repayment,1,-2.75,63456.19000000001
100274288,2024-07-02,7.62,repayment,1,-7.62,63448.57000000001
100274288,2024-07-03,6.42,repayment,1,-6.42,63442.15000000001
100274288,2024-07-05,0.02,repayment,1,-0.02,63442.13000000001
100274288,2024-07-06,5.82,repayment,1,-5.82,63436.31000000001
100274288,2024-10-01,5.0,repayment,1,-5.0,63431.31000000001
100278695,2023-04-28,8000.0,drawdown,0,8000.0,8000.0
100278695,2023-04-29,8000.0,drawdown,0,8000.0,16000.0
100278695,2023-04-29,7999.25,repayment,1,-7999.25,8000.75
100278695,2023-04-29,8000.0,repayment,1,-8000.0,0.75
100278695,2023-04-29,0.75,repayment,1,-0.75,0.0
100278695,2023-06-05,7.0,repayment,1,-7.0,-7.0
107648451,2023-10-13,7000.0,drawdown,0,7000.0,7000.0
107648451,2023-10-13,50000.0,drawdown,0,50000.0,57000.0
107648451,2023-10-13,59360.0,repayment,1,-59360.0,-2360.0
107648451,2023-10-14,80000.0,drawdown,0,80000.0,77640.0
107648451,2023-10-14,31000.0,repayment,1,-31000.0,46640.0
107648451,2023-10-14,49000.0,repayment,1,-49000.0,-2360.0
107648451,2023-10-15,90000.0,drawdown,0,90000.0,87640.0
107648451,2023-10-16,50000.0,drawdown,0,50000.0,137640.0
107648451,2023-10-16,43572.0,repayment,1,-43572.0,94068.0
107648451,2023-10-16,67435.75,repayment,1,-67435.75,26632.25
107648451,2023-10-16,11567.76,repayment,1,-11567.76,15064.49
107648451,2023-10-16,4778.48,repayment,1,-4778.48,10286.01
107648451,2023-10-16,23391.65,repayment,1,-23391.65,-13105.640000000001
107648451,2023-10-16,18258.09,repayment,1,-18258.09,-31363.730000000003
107648451,2023-10-17,100000.0,drawdown,0,100000.0,68636.26999999999
107648451,2023-10-18,470.51,repayment,1,-470.51,68165.76
107648451,2023-10-19,20000.0,drawdown,0,20000.0,88165.76
107648451,2023-10-19,2800.0,repayment,1,-2800.0,85365.76
107648451,2023-10-19,25000.0,repayment,1,-25000.0,60365.759999999995
107648451,2023-10-19,41825.57,repayment,1,-41825.57,18540.189999999995
107648451,2023-10-19,24200.0,repayment,1,-24200.0,-5659.810000000005
107648451,2023-10-19,18.01,repayment,1,-18.01,-5677.820000000005
107648451,2023-10-20,13000.0,drawdown,0,13000.0,7322.179999999995
107648451,2023-10-20,90000.0,drawdown,0,90000.0,97322.18
107648451,2023-10-21,99000.0,drawdown,0,99000.0,196322.18
107648451,2023-10-21,99683.0,repayment,1,-99683.0,96639.18
107648451,2023-10-22,99000.0,repayment,1,-99000.0,-2360.820000000007
107648451,2023-10-23,99000.0,drawdown,0,99000.0,96639.18
107648451,2023-10-24,18004.92,repayment,1,-18004.92,78634.26
107648451,2023-10-25,6895.58,repayment,1,-6895.58,71738.68
107648451,2023-10-25,49098.68,repayment,1,-49098.68,22639.999999999993
107648451,2023-10-25,1434.73,repayment,1,-1434.73,21205.269999999993
107648451,2023-10-25,25000.0,repayment,1,-25000.0,-3794.730000000007
107648451,2023-11-21,1000.0,drawdown,0,1000.0,-2794.730000000007
107648451,2023-11-22,49000.0,drawdown,0,49000.0,46205.26999999999
107648451,2023-11-22,50000.0,drawdown,0,50000.0,96205.26999999999
107648451,2023-11-22,58.0,repayment,1,-58.0,96147.26999999999
107648451,2023-11-23,99000.0,drawdown,0,99000.0,195147.27
107648451,2023-11-23,5000.0,drawdown,0,5000.0,200147.27
107648451,2023-11-23,80124.42,repayment,1,-80124.42,120022.84999999999
107648451,2023-11-23,4917.0,repayment,1,-4917.0,115105.84999999999
107648451,2023-11-23,4916.28,repayment,1,-4916.28,110189.56999999999
107648451,2023-11-23,13958.66,repayment,1,-13958.66,96230.90999999999
107648451,2023-11-24,500.95,repayment,1,-500.95,95729.95999999999
107648451,2023-11-24,1073.73,repayment,1,-1073.73,94656.23
107648451,2023-11-25,500.0,drawdown,0,500.0,95156.23
107648451,2023-11-25,22767.02,repayment,1,-22767.02,72389.20999999999
107648451,2023-11-25,25000.0,repayment,1,-25000.0,47389.20999999999
107648451,2023-11-25,499.41,repayment,1,-499.41,46889.79999999999
107648451,2023-11-25,10000.0,repayment,1,-10000.0,36889.79999999999
107648451,2023-11-25,30000.0,repayment,1,-30000.0,6889.799999999988
107648451,2023-11-26,1833.22,repayment,1,-1833.22,5056.579999999988
107648451,2023-11-26,9741.89,repayment,1,-9741.89,-4685.310000000011
107648451,2023-11-27,99000.0,drawdown,0,99000.0,94314.68999999999
107648451,2023-11-28,6000.0,drawdown,0,6000.0,100314.68999999999
107648451,2023-11-28,3100.0,drawdown,0,3100.0,103414.68999999999
107648451,2023-11-28,9000.0,drawdown,0,9000.0,112414.68999999999
107648451,2023-11-28,1929.07,repayment,1,-1929.07,110485.61999999998
107648451,2023-11-28,91.34,repayment,1,-91.34,110394.27999999998
107648451,2023-11-28,12056.55,repayment,1,-12056.55,98337.72999999998
107648451,2023-11-28,574.12,repayment,1,-574.12,97763.60999999999
107648451,2023-11-28,87.92,repayment,1,-87.92,97675.68999999999
107648451,2023-11-28,2765.58,repayment,1,-2765.58,94910.10999999999
107648451,2023-11-29,2200.0,drawdown,0,2200.0,97110.10999999999
107648451,2023-11-29,92.4,repayment,1,-92.4,97017.70999999999
107648451,2023-11-30,73.01,repayment,1,-73.01,96944.7
107648451,2024-07-03,9.0,repayment,1,-9.0,96935.7
109767281,2023-06-07,10000.0,drawdown,0,10000.0,10000.0
109767281,2023-06-07,9999.6,repayment,1,-9999.6,0.3999999999996362
